Player,Squad,Age,Min,Gls,Ast,G+A,Sh,G+A_per_90,Shot_conversion_rate
Aleksander Buksa,Katowice,22.0,1130,0.0,0.0,0.0,3,0.0,0.0
Isak Brusberg,Raków,18.0,2160,0.0,0.0,0.0,3,0.0,0.0
Jonatan Braut Brunes,Raków,24.0,2451,16.0,0.0,16.0,78,0.59,20.51
Tomáš Bobček,Lechia Gdańsk,23.0,2456,20.0,6.0,26.0,117,0.95,17.09
Sebastian Bergier,Widzew Łódź,25.0,2278,14.0,4.0,18.0,54,0.71,25.93
Florent Batoum,Cracovia,23.0,1880,0.0,0.0,0.0,2,0.0,0.0
Hierman Barkoŭski,Piast Gliwice,23.0,1937,4.0,1.0,5.0,55,0.23,7.27
Pape Ba,Widzew Łódź,28.0,720,0.0,0.0,0.0,2,0.0,0.0
Mohamed Awad Alla,Lechia Gdańsk,23.0,2020,1.0,0.0,1.0,4,0.45,25.0
Karol Angielski,Pogoń Szczecin,29.0,5490,1.0,0.0,1.0,7,0.16,14.29
Migouel Alfarela,Legia Warsaw,27.0,2730,1.0,1.0,2.0,7,0.67,14.29
Milan Aleksić,Cracovia,19.0,1840,0.0,0.0,0.0,4,0.0,0.0
Yannick Agnero,Lech Poznań,22.0,6030,3.0,0.0,3.0,21,0.45,14.29
